md_metric,biomarker,n,spearman_rho,p_value,p_fdr,significant
phosphate_exposure_mean,TBIL,91,-0.12020522552881566,0.25639457436990104,0.8456085118629546,False
phosphate_exposure_mean,PC_ratio,22,0.52343308865048,0.012420502546177667,0.5216611069394621,False
EPtot_mean,ALT,91,0.055105413002897015,0.6039003686350297,0.9362939579847822,False
EPtot_mean,AST,91,0.08116071287401133,0.44440018989732843,0.9310449093698914,False
EPtot_mean,ALB,40,-0.011454360386017997,0.9440752510418233,0.9856863418245888,False
EPtot_mean,BUN,91,0.08200949845303006,0.4396353756828244,0.9310449093698914,False
EPtot_mean,CREA,87,0.035239087294847,0.7459115851167035,0.9733422477142535,False
EPtot_mean,TBIL,91,-0.10632773180019237,0.3157993629513929,0.8850131195216513,False
EPtot_mean,PC_ratio,22,-0.14285714285714288,0.5259420073570242,0.9362939579847822,False
VDWAALS_mean,ALT,91,-0.05439668731543202,0.608568855491677,0.9362939579847822,False
VDWAALS_mean,AST,91,-0.08045199000845138,0.4484008304750202,0.9310449093698914,False
VDWAALS_mean,ALB,40,0.007700410343541511,0.9623873126215681,0.9856863418245888,False
VDWAALS_mean,BUN,91,-0.07999332868249107,0.4510005869453052,0.9310449093698914,False
VDWAALS_mean,CREA,87,-0.036734742138624155,0.7355161099833282,0.9733422477142535,False
VDWAALS_mean,TBIL,91,0.10793694749088233,0.3084888513850785,0.8850131195216513,False
VDWAALS_mean,PC_ratio,22,0.14398644833427443,0.5226413445457573,0.9362939579847822,False
EELEC_mean,ALT,91,0.05193605543423328,0.6248985536193894,0.9362939579847822,False
EELEC_mean,AST,91,0.0774578349809172,0.4655224546849457,0.9310449093698914,False
EELEC_mean,ALB,40,0.020309832281090734,0.9010063344288699,0.9786792942934277,False
EELEC_mean,BUN,91,0.08254342483495143,0.4366529130770811,0.9310449093698914,False
EELEC_mean,CREA,87,0.03550356284649052,0.7440699900946703,0.9733422477142535,False
EELEC_mean,TBIL,91,-0.11304341906381432,0.2860249034609177,0.8580747103827531,False
EELEC_mean,PC_ratio,22,-0.14398644833427443,0.5226413445457573,0.9362939579847822,False
n_intramol_hbonds_mean,ALT,91,-0.02628697476837573,0.8046466605998508,0.9733422477142535,False
n_intramol_hbonds_mean,AST,91,-0.07768204115436071,0.46422812325222396,0.9310449093698914,False
n_intramol_hbonds_mean,ALB,40,0.08928082017437905,0.5837934321585125,0.9362939579847822,False
n_intramol_hbonds_mean,BUN,91,0.12425541394889592,0.24059956395771584,0.8420984738520055,False
n_intramol_hbonds_mean,CREA,87,-0.08475227920362158,0.43510336400562666,0.9310449093698914,False
n_intramol_hbonds_mean,TBIL,91,-0.21030473753323536,0.04540499705245655,0.7818821540197143,False
n_intramol_hbonds_mean,PC_ratio,22,0.04121964991530209,0.8554817672242458,0.9733422477142535,False
