Compound ID,ALT,homodimer_dG,monomer_dG,ddG_dimerization,wing5_homodimer_dG,wing3_homodimer_dG,wing5_wing3_dG
936069,77.0,-3.953955675480714,-0.04929431797443312,-3.855367039531848,,,
936088,35.0,-5.2878876760585465,-0.08372190397939851,-5.120443868099749,,,
936096,48.0,-6.750172995316097,-0.07319763320866506,-6.603777728898767,,,
936100,81.0,-3.546340617452363,-0.023649590807722522,-3.4990414358369177,,,
936104,44.0,-5.286381917847477,-0.4918334574520481,-4.302715002943381,,,
936110,93.0,-5.594054727389328,-0.06057199348892545,-5.472910740411478,,,
936142,45.0,-5.1031327804994016,-0.49515615617623643,-4.1128204681469285,,,
936147,429.0,-3.882105416466412,-0.04929431797443312,-3.783516780517546,,,
936158,90.0,-4.870335553249043,-0.0776756298435414,-4.71498429356196,,,
936169,30.0,-6.03282424757376,-0.15475222766671778,-5.723319792240325,,,
936198,46.0,-5.2878876760585465,-0.08372190397939851,-5.120443868099749,,0.0,
936199,31.0,-5.1802549883973805,-0.20629684314791835,-4.767661302101544,,0.0,
936208,106.0,-3.7342020504378497,-0.077540099599644,-3.5791218512385616,,0.0,
936214,55.0,-5.286381917847477,-0.4918334574520481,-4.302715002943381,,0.0,
936218,38.0,-5.061556944381478,-0.24266305898271998,-4.5762308264160385,,0.0,
936251,551.0,-4.694309178545581,-0.13722473978337332,-4.419859698978834,,0.0,
936268,60.0,-4.870335553249043,-0.0776756298435414,-4.71498429356196,,0.0,
936279,43.0,-6.03282424757376,-0.15475222766671778,-5.723319792240325,,0.0,
936315,457.0,-5.594054727389328,-0.06057199348892545,-5.472910740411478,,,
936415,132.0,-4.2697461219701,-0.0452286797169137,-4.179288762536273,,,
948660,112.0,-5.97604777993506,-0.08872555955003072,-5.798596660834998,,,
948673,225.0,-4.404298076561146,-0.08895084705519357,-4.226396382450758,,,
948675,100.0,-4.788179063638359,-0.15441672121761807,-4.479345621203123,,,
948677,65.0,-4.7104393263127475,-0.12734804764222765,-4.4557432310282925,,,
948951,107.0,-4.220923317793132,-0.04307715609467003,-4.1347690056037925,,,
949158,713.0,-5.203319829252562,-0.2021540041052513,-4.799011821042059,,,
949190,64.0,-6.648908167170576,-0.08325669898112191,-6.482394769208332,,,
949865,45.0,-4.815874906324729,-0.16731606558034903,-4.481242775164031,,,
949873,89.0,-3.9767694107304985,-0.07184716570860264,-3.8330750793132933,,,
949874,1079.0,-3.9002361805720147,-0.04718775189458852,-3.805860676782838,,,
